1,Stout,750,4.21,2040,Duvel,286
2,"Wood-aged Beer",5000,6.0,540,"Samuel Smith’s Oatmeal Stout",163
3,"Merican Ale",5000,9.57,1220,"Trois Pistoles",253
4,"English Brown Ale",1000,0.15,2030,"Alpha King Pale Ale",85
5,"German Wheat And Rye Beer",500,3.62,8040,"St. Bernardus Abt 12",268
6,"German Wheat And Rye Beer",1000,2.36,1090,"Samuel Smith’s Oatmeal Stout",183
7,"European Amber Lager",5000,9.25,2850,"Old Rasputin Russian Imperial Stout",353
8,"Belgian And French Ale",500,11.75,1520,"Founders Breakfast Stout",252
9,"Strong Ale",500,11.09,2850,"Stone IPA",33
10,"India Pale Ale",330,4.46,1520,Maharaj,35
11,"German Wheat And Rye Beer",1000,12.52,2050,"Sierra Nevada Celebration Ale",383
12,Stout,1000,2.96,1890,"Chocolate St",163
13,"Light Lager",750,11.2,2090,"Trappistes Rochefort 8",500
14,"Dark Lager",1000,10.38,1530,"Brooklyn Black",330
15,"Sour Ale",330,4.11,8030,"Brooklyn Black",448
16,Smoke-flavored,750,11.07,580,"Delirium Noctorum",227
17,Stout,500,11.64,1540,Hennepin,499
18,Pilsner,750,7.56,8040,Maudite,394
19,"Light Hybrid Beer",5000,11.49,1080,"Samuel Smith’s Imperial IPA",314
20,"German Wheat And Rye Beer",5000,5.59,1250,"HopSlam Ale",427
21,"Light Lager",5000,12.02,1540,"Racer 5 India Pale Ale, Bear Republic Bre",56
22,"Vegetable Beer",500,8.48,8080,"Trois Pistoles",334
23,"Belgian Strong Ale",5000,5.22,1880,"Bourbon County Stout",80
24,"Scottish And Irish Ale",500,2.25,1880,"Westmalle Trappist Tripel",477
25,Porter,500,0.56,1540,"Sublimely Self-Righteous Ale",180
26,"Vegetable Beer",1000,5.04,2040,"Chimay Grande Réserve",448
27,"Amber Hybrid Beer",1000,5.59,2090,"Bell’s Expedition",429
28,"Fruit Beer",330,10.34,1590,"Sierra Nevada Celebration Ale",387
29,Porter,750,12.18,8080,"Arrogant Bastard Ale",284
30,"Strong Ale",1000,0.44,8040,"Shakespeare Oatmeal",345
31,"Dark Lager",750,9.61,1230,"Stone Imperial Russian Stout",492
32,"English Brown Ale",330,11.89,2080,"Storm King Stout",403
33,"Light Hybrid Beer",500,6.18,1530,"Hop Rod Rye",460
34,"Strong Ale",1000,1.74,520,"La Fin Du Monde",157
35,Porter,750,3.72,8030,"Nugget Nectar",153
36,"Dark Lager",330,8.93,1530,"Sapporo Premium",90
37,"Belgian Strong Ale",5000,3.92,1830,"Péché Mortel",156
38,"Merican Ale",5000,7.2,2830,"Sierra Nevada Celebration Ale",118
39,"Belgian And French Ale",500,10.56,1050,"Double Bastard Ale",281
40,Porter,330,3.67,2020,"Hop Rod Rye",19
41,Porter,1000,3.25,2890,"Ruination IPA",467
42,"English Pale Ale",5000,11.84,8030,"Sierra Nevada Celebration Ale",491
43,"India Pale Ale",330,2.47,530,"Edmund Fitzgerald Porter",257
44,Porter,330,9.95,1220,"St. Bernardus Abt 12",499
45,"European Amber Lager",330,6.23,1580,"Double Bastard Ale",10
46,"Dark Lager",750,6.06,1850,"Oaked Arrogant Bastard Ale",458
47,"Sour Ale",330,4.96,1040,"Trappistes Rochefort 8",297
48,"India Pale Ale",500,2.11,1250,Duvel,283
49,"European Amber Lager",750,4.63,2830,"Schneider Aventinus",180
50,"Belgian And French Ale",5000,6.5,1880,"Trappistes Rochefort 8",224
51,"Amber Hybrid Beer",5000,0.66,2080,"Racer 5 India Pale Ale, Bear Republic Bre",185
52,"Sour Ale",5000,10.32,2820,"Two Hearted Ale",133
53,"Sour Ale",1000,11.0,530,"Pliny The Elder",99
54,"Merican Ale",1000,2.49,1250,"Pliny The Elder",241
55,"English Pale Ale",1000,11.84,530,"Sierra Nevada Celebration Ale",120
56,"Wood-aged Beer",330,0.33,1530,"Celebrator Doppelbock",37
57,"Strong Ale",750,6.1,1840,"Racer 5 India Pale Ale, Bear Republic Bre",176
58,Stout,5000,0.48,530,"Stone IPA",386
59,"Fruit Beer",500,0.33,1820,"Brooklyn Black",153
60,Bock,330,5.18,550,"Stone IPA",34
61,"India Pale Ale",1000,7.78,1890,"Racer 5 India Pale Ale, Bear Republic Bre",172
62,"Scottish And Irish Ale",1000,8.87,1550,"Ten FIDY",139
63,"Wood-aged Beer",750,2.01,540,"Nugget Nectar",138
64,"Belgian And French Ale",330,1.26,2020,Duvel,442
65,"India Pale Ale",5000,11.97,2080,Hennepin,404
66,"Dark Lager",500,7.37,2890,"Bell’s Expedition",345
67,"Light Hybrid Beer",330,2.37,580,"Alpha King Pale Ale",31
68,"India Pale Ale",500,1.93,8080,"Dreadnaught IPA",329
69,Smoke-flavored,750,3.86,8020,"90 Minute IPA",101
70,"European Amber Lager",5000,2.84,2830,"Weihenstephaner Hefeweissbier",412
71,"Vegetable Beer",1000,12.41,2820,"Oak Aged Yeti Imperial Stout",317
72,Stout,5000,12.59,1050,"St. Bernardus Abt 12",332
73,"European Amber Lager",750,11.52,1840,"Sierra Nevada Celebration Ale",227
74,"Light Hybrid Beer",330,5.62,2020,"Yeti Imperial Stout",254
75,"German Wheat And Rye Beer",5000,12.61,1250,"Alpha King Pale Ale",115
76,Pilsner,1000,10.01,2090,"Sublimely Self-Righteous Ale",309
77,"German Wheat And Rye Beer",1000,0.73,520,"La Fin Du Monde",478
78,Porter,500,12.11,1880,"Founders Kentucky Breakfast",465
79,"Strong Ale",1000,6.54,1540,"Founders Breakfast Stout",314
80,"Vegetable Beer",1000,7.5,1820,"Kirin Inchiban",304
81,"Light Lager",500,10.67,1550,"Dreadnaught IPA",304
82,"Light Lager",500,11.87,530,"Delirium Tremens",94
83,"Fruit Beer",500,8.96,2040,"Westmalle Trappist Tripel",358
84,"Fruit Beer",750,6.75,2880,Maharaj,388
85,Bock,750,6.94,2050,"Edmund Fitzgerald Porter",436
86,"Sour Ale",5000,11.19,1890,"Founders Kentucky Breakfast",103
87,Stout,330,0.51,1530,"Double Bastard Ale",108
88,"European Amber Lager",330,8.37,8020,"Péché Mortel",483
89,"Strong Ale",330,9.88,2820,"Edmund Fitzgerald Porter",161
90,"Belgian Strong Ale",750,5.53,1820,"Kirin Inchiban",414
91,"European Amber Lager",750,3.44,1880,"Bell’s Expedition",242
92,Smoke-flavored,500,2.26,1850,"Founders Breakfast Stout",11
93,"European Amber Lager",750,8.71,1550,Maudite,306
94,"English Pale Ale",330,4.91,8020,"Péché Mortel",205
95,"Merican Ale",330,2.09,2050,"Ruination IPA",222
96,"Light Hybrid Beer",5000,2.32,1540,"Edmund Fitzgerald Porter",97
97,"Dark Lager",1000,1.83,1080,"Chocolate St",314
98,"English Pale Ale",5000,9.72,1220,"Trappistes Rochefort 10",264
99,Bock,500,12.03,1530,"Péché Mortel",78
100,Pilsner,1000,5.93,1880,"Two Hearted Ale",284
101,"European Amber Lager",500,7.99,8050,"Weihenstephaner Hefeweissbier",6
102,Smoke-flavored,500,11.43,1890,"Shakespeare Oatmeal",380
103,Smoke-flavored,330,10.7,1090,"Pliny The Elder",156
104,"India Pale Ale",5000,3.7,2020,"Bell’s Expedition",401
105,"Vegetable Beer",1000,11.08,8080,"Kirin Inchiban",301
106,"Scottish And Irish Ale",330,12.55,2030,"Racer 5 India Pale Ale, Bear Republic Bre",118
107,"European Amber Lager",500,11.23,1220,"Weihenstephaner Hefeweissbier",155
108,"India Pale Ale",1000,6.08,8090,"Nugget Nectar",261
109,"Strong Ale",500,5.29,2090,"Founders Breakfast Stout",284
110,"Dark Lager",5000,2.39,1220,"Edmund Fitzgerald Porter",303
111,"Belgian Strong Ale",500,11.93,1590,"Racer 5 India Pale Ale, Bear Republic Bre",152
112,Bock,500,3.04,8090,"Celebrator Doppelbock",175
113,"English Brown Ale",500,7.08,1820,"Schneider Aventinus",306
114,Pilsner,750,4.59,1890,"Hercules Double IPA",427
115,"English Brown Ale",330,8.11,1520,"Ruination IPA",378
116,"Wood-aged Beer",330,12.84,1050,"Founders Breakfast Stout",199
117,"English Pale Ale",330,11.03,540,"Trappistes Rochefort 8",422
118,"Strong Ale",5000,6.22,2090,"Bell’s Expedition",134
119,"Light Hybrid Beer",330,10.06,520,Maudite,289
120,"Wood-aged Beer",5000,12.58,1050,"Founders Breakfast Stout",245
121,Bock,500,0.53,1820,"Hercules Double IPA",95
122,"Light Lager",5000,11.19,8030,"Samuel Smith’s Imperial IPA",26
123,Stout,5000,5.92,2050,"Sierra Nevada Bigfoot Barleywine Style Ale",331
124,"Merican Ale",5000,1.6,2090,Hennepin,81
125,Bock,330,1.15,8090,Duvel,221
126,"Vegetable Beer",1000,6.17,590,"Bell’s Expedition",250
127,"Belgian And French Ale",330,4.22,1020,"Dreadnaught IPA",208
128,"Light Lager",500,1.78,2840,"Storm King Stout",361
129,"Light Lager",1000,11.43,1020,"Oak Aged Yeti Imperial Stout",288
130,"Merican Ale",1000,4.48,2840,Maudite,381
131,"European Amber Lager",330,5.0,2030,"Samuel Smith’s Imperial IPA",246
132,"Scottish And Irish Ale",500,12.84,1850,"Shakespeare Oatmeal",103
133,Stout,500,12.22,8040,"Nugget Nectar",343
134,Porter,5000,10.38,2850,"Stone IPA",93
135,Bock,500,0.48,8030,"Pliny The Elder",90
136,Stout,5000,1.49,2880,"Dreadnaught IPA",78
137,Bock,750,4.47,1830,"Racer 5 India Pale Ale, Bear Republic Bre",90
138,"Scottish And Irish Ale",750,4.92,590,"Storm King Stout",104
139,Stout,5000,0.63,550,"Arrogant Bastard Ale",449
140,"India Pale Ale",5000,12.05,2040,Maudite,4
141,"English Brown Ale",500,5.0,2040,"Stone Imperial Russian Stout",19
142,"Merican Ale",330,2.69,2030,"Weihenstephaner Hefeweissbier",383
143,"Wood-aged Beer",5000,2.28,1890,"Founders Breakfast Stout",386
144,"Merican Ale",330,9.97,1020,"Oaked Arrogant Bastard Ale",454
145,"Scottish And Irish Ale",330,11.37,550,Duvel,152
146,"Belgian And French Ale",1000,0.59,8090,"Trois Pistoles",233
147,"European Amber Lager",750,7.53,8020,"Péché Mortel",335
148,"Light Lager",750,9.94,2820,"Delirium Tremens",240
149,"Scottish And Irish Ale",5000,3.05,2090,"Shakespeare Oatmeal",87
150,Porter,330,10.81,1820,"Old Rasputin Russian Imperial Stout",234
151,Porter,750,9.78,1530,Hennepin,95
152,"Belgian And French Ale",1000,2.96,1820,"Founders Kentucky Breakfast",397
153,"Scottish And Irish Ale",1000,5.86,1890,"Delirium Noctorum",236
154,Bock,500,8.34,550,"Sierra Nevada Bigfoot Barleywine Style Ale",407
155,Bock,330,0.4,1030,"Storm King Stout",298
156,"English Pale Ale",5000,9.03,2850,"Double Bastard Ale",378
157,"Light Lager",5000,11.11,8050,"Hop Rod Rye",166
158,Bock,330,10.09,1880,"Bourbon County Stout",59
159,Bock,5000,4.59,1590,"Schneider Aventinus",428
160,"Vegetable Beer",1000,11.89,1030,"Pliny The Elder",216
161,"Belgian Strong Ale",1000,6.13,8040,"Sapporo Premium",434
162,"Fruit Beer",500,7.14,1550,"Trappistes Rochefort 8",148
163,"Light Lager",750,9.43,8080,"Trappistes Rochefort 8",296
164,"Scottish And Irish Ale",750,8.59,590,"Sierra Nevada Celebration Ale",457
165,Bock,750,5.36,2080,"Founders Kentucky Breakfast",18
166,"Amber Hybrid Beer",5000,4.97,1580,"Hercules Double IPA",467
167,Smoke-flavored,500,11.35,540,"Trois Pistoles",11
168,"European Amber Lager",330,8.18,1890,"Founders Breakfast Stout",466
169,"Sour Ale",5000,9.03,8090,Maudite,350
170,"Sour Ale",330,0.12,550,"Stone IPA",137
171,"Vegetable Beer",750,4.75,1580,"Samuel Smith’s Imperial IPA",433
172,"Merican Ale",330,10.37,580,"Hercules Double IPA",222
173,Pilsner,5000,2.53,8050,"Bourbon County Stout",310
174,Bock,5000,7.48,1020,"Shakespeare Oatmeal",214
175,Pilsner,5000,2.5,580,"Dreadnaught IPA",336
176,Pilsner,750,1.93,1290,Maharaj,403
177,Stout,1000,6.73,2830,"Edmund Fitzgerald Porter",384
178,"Belgian And French Ale",750,6.71,8050,"Double Bastard Ale",158
179,"Sour Ale",5000,1.98,1020,"Weihenstephaner Hefeweissbier",71
180,"Light Hybrid Beer",5000,8.51,2840,"Storm King Stout",467
181,"Fruit Beer",1000,0.9,1220,"Bell’s Expedition",236
182,"Belgian Strong Ale",750,8.68,1580,"Founders Breakfast Stout",176
