order_id,beer_id,amount
1,1975,2
2,654,2
3,1417,4
4,731,2
5,847,2
5,960,2
5,1230,4
6,1198,4
7,70,16
8,1389,2
9,1578,16
10,1476,2
10,463,2
10,1337,16
11,1698,2
12,149,2
12,45,2
12,1557,2
12,783,4
12,1296,2
13,1719,4
14,1615,256
15,161,2
16,1818,2
17,141,2
18,1726,128
19,264,128
20,194,2
20,502,2
20,163,16
20,1892,2
20,109,2
21,1572,32
22,643,2
23,491,4
24,1503,2
25,1129,16
26,753,2
26,1099,2
26,157,2
27,1941,32
28,826,2
29,1983,2
30,614,2
31,699,8
31,839,64
31,351,2
32,250,2
33,1935,64
34,657,2
35,745,2
36,1395,2
37,396,2
38,436,32
39,1147,2
40,937,128
41,869,2
42,1564,4
43,1002,4
44,538,2
45,1290,2
46,1577,8
47,236,2
47,1717,16
47,15,2
47,1225,2
47,1049,2
48,1796,2
49,959,2
50,1353,2
51,706,2
51,610,2
51,97,2
51,1539,2
51,629,2
52,887,2
53,185,2
53,436,2
53,1325,2
54,1887,128
55,677,8
56,1552,2
56,1983,2
56,1825,2
57,791,2
58,1565,4
59,1741,2
60,1736,2
61,732,2
61,1434,8
61,920,2
62,1736,8
63,1750,2
63,1422,4
64,856,4
65,1212,2
66,873,2
66,671,128
66,434,2
66,1763,2
66,611,2
67,1174,16
68,1276,2
69,1376,2
70,1298,2
71,1332,2
72,1629,2
73,94,2
73,344,2
74,1657,2
74,1497,2
75,435,256
76,404,2
76,994,2
76,1365,4
77,1180,128
78,1735,2
79,1694,8
80,181,2
80,123,2
81,1147,2
82,1045,2
83,115,8
84,1764,2
85,1196,128
86,1005,4
86,383,4
86,244,2
86,1298,2
87,1543,2
88,828,2
89,1986,16
90,591,8
91,1683,2
92,1662,32
93,83,2
93,1547,2
93,1952,8
93,424,2
93,1426,4
94,560,2
95,166,4
96,1226,2
97,1865,2
98,607,2
99,1775,2
100,846,128
101,334,2
101,839,2
101,534,4
101,1176,2
102,544,32
102,1259,2
102,89,2
102,1190,2
102,776,2
103,799,2
104,1580,2
105,1160,2
106,1299,16
107,1683,2
108,439,32
109,917,2
110,719,4
111,1877,16
112,321,2
112,1675,2
112,539,2
113,1034,2
114,728,256
115,1071,128
115,449,4
115,377,4
116,1959,2
117,1275,4
118,1650,2
119,1141,2
119,956,2
120,1100,2
120,154,2
120,108,2
120,1837,2
120,1545,4
121,1832,2
122,1760,2
123,994,2
123,1195,2
124,1519,2
125,1800,2
126,1887,2
127,1594,2
127,1192,8
127,719,2
128,807,2
129,1646,4
