1,Maldives
2,Canada
3,"New Caledonia"
4,Eritrea
5,Bangladesh
6,Vanuatu
7,Liechtenstein
8,Malawi
9,Azerbaijan
10,Iraq
11,Tajikistan
12,"Netherlands Antilles"
13,Kenya
14,"Holy See (Vatican City State)"
15,"Solomon Islands"
16,Nauru
17,India
18,"New Zealand"
19,Niue
20,"Bosnia and Herzegovina"
21,"Republic of Korea"
22,"Saint Barthelemy"
23,"South Georgia and the South Sandwich Islands"
24,Guinea
25,France
26,Rwanda
27,"Pitcairn Islands"
28,"Democratic People's Republic of Korea"
29,Sudan
30,Aruba
31,"Burkina Faso"
32,"Trinidad and Tobago"
33,Macedonia
34,Seychelles
35,"Svalbard & Jan Mayen Islands"
36,Iceland
37,Portugal
38,Argentina
39,Guadeloupe
40,Guernsey
41,Austria
42,Nigeria
43,Panama
44,Taiwan
45,Ecuador
46,Malta
47,"Czech Republic"
48,Poland
49,Germany
50,Grenada
